nome_munic,cod_ibge,uf_cod,micro,meso,regiao,rio_doce,uf,afetado
TIMOTEO,3168705,31,31039,3108,3,1,MG,1
TUMIRITINGA,3169505,31,31037,3108,3,1,MG,1
UBA,3169901,31,31064,3112,3,1,MG,0
UBAPORANGA,3170057,31,31040,3108,3,1,MG,0
URUCANIA,3170503,31,31060,3112,3,1,MG,0
VARGEM ALEGRE,3170578,31,31040,3108,3,1,MG,0
VERMELHO NOVO,3171154,31,31060,3112,3,1,MG,0
VICOSA,3171303,31,31062,3112,3,1,MG,0
VILA VALERIO,3205176,32,32002,3201,3,1,ES,0
VIRGINOPOLIS,3171808,31,31035,3108,3,1,MG,0
VIRGOLANDIA,3171907,31,31037,3108,3,1,MG,0
